"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition"
1474,160,5,24,2280,2,2,4,4,1,3,1,15,3,3,4,5,6,6,1975,1975,2,1,10,3,3,1,4,5,2,5,5,4,1,514,7,0,341,855,1,5,2,4,855,601,0,1456,0,0,2,1,3,1,3,6,8,1,6,2,1975,4,2,440,5,6,3,173,0,0,0,0,0,3,5,2,0,6,2010,10,5
1475,120,5,24,2280,2,2,4,4,1,3,1,15,3,3,4,3,7,6,1975,1975,2,1,10,3,3,1,4,5,2,3,5,4,7,0,7,0,836,836,1,1,2,4,836,0,0,836,0,0,1,0,2,1,5,4,8,0,4,2,1975,4,1,308,5,6,3,0,30,0,0,0,0,3,5,2,0,6,2010,10,5
1476,60,5,102,12858,2,2,1,4,1,5,1,16,3,3,1,5,9,5,2009,2010,2,1,12,14,4,96,1,5,3,1,5,4,7,0,7,0,1590,1590,1,1,2,4,1627,707,0,2334,0,0,2,1,3,1,1,10,8,1,3,2,2009,1,3,751,5,6,3,144,133,0,0,0,0,3,5,2,0,1,2010,7,6
1477,20,5,94,12883,2,2,1,4,1,1,1,16,3,3,1,3,8,5,2009,2010,2,1,12,14,4,159,3,5,3,3,5,4,7,0,7,0,1544,1544,1,1,2,4,1544,0,0,1544,0,0,2,0,3,1,3,7,8,0,4,2,2009,3,3,868,5,6,3,0,35,0,0,0,0,3,5,2,0,6,2010,7,6
1478,20,5,90,11520,2,2,4,4,1,5,1,16,5,3,1,3,9,5,2005,2005,4,1,12,14,2,272,3,5,3,1,5,4,3,110,7,0,1588,1698,1,1,2,4,1698,0,0,1698,0,0,2,0,3,1,1,7,8,1,3,2,2005,1,3,730,5,6,3,192,74,0,0,0,0,3,5,2,0,6,2010,10,5
1479,20,5,79,14122,2,2,1,4,1,5,1,16,3,3,1,3,8,5,2005,2006,4,1,6,6,2,149,3,5,3,1,5,4,3,28,7,0,1794,1822,1,1,2,4,1822,0,0,1822,0,0,2,0,3,1,1,8,8,1,3,2,2005,3,3,678,5,6,3,0,119,0,0,0,0,3,5,2,0,2,2010,10,5
1480,20,5,110,14300,2,2,4,2,1,5,2,16,3,3,1,3,9,5,2003,2004,4,1,12,14,2,299,1,5,3,1,5,2,3,1373,7,0,1473,2846,1,1,2,4,2696,0,0,2696,1,0,2,1,3,1,1,10,8,2,3,2,2003,1,3,958,5,6,3,220,150,0,0,0,0,3,5,2,0,6,2010,10,5
1481,60,5,105,13650,2,2,4,4,1,1,1,16,3,3,1,5,8,5,2002,2002,2,1,12,14,2,144,3,5,3,3,5,2,3,578,7,0,1093,1671,1,1,2,4,1687,563,0,2250,1,0,2,1,3,1,3,7,8,1,1,2,2002,1,3,756,5,6,3,238,130,0,0,0,0,3,5,2,0,6,2010,10,5
1482,120,5,41,7132,2,2,1,4,1,5,1,16,3,3,5,3,8,5,2006,2006,2,1,12,14,4,107,3,5,3,3,5,3,3,24,7,0,1346,1370,1,1,2,4,1370,0,0,1370,0,0,2,0,2,1,3,6,8,1,3,2,2006,3,2,484,5,6,3,120,49,0,0,0,0,3,5,2,0,4,2010,10,5
1483,20,5,100,18494,2,2,1,4,1,1,1,9,3,3,1,3,6,5,2005,2005,2,1,12,14,3,1,3,5,3,3,5,4,7,0,7,0,1324,1324,1,1,2,4,1324,0,0,1324,0,0,2,0,3,1,3,6,8,0,4,2,2005,1,2,430,5,6,3,36,23,0,0,0,0,3,5,2,0,1,2010,10,5
1484,120,5,43,3203,2,2,4,4,1,5,1,1,3,3,5,3,7,5,2006,2006,2,1,12,14,2,4,3,5,3,3,5,1,3,16,7,0,1129,1145,1,1,2,4,1145,0,0,1145,0,0,2,0,2,1,3,6,8,0,4,2,2006,1,2,437,5,6,3,100,116,0,0,0,0,3,5,2,0,1,2010,10,5
1485,80,5,67,13300,2,2,1,4,1,5,1,9,3,3,1,7,7,5,2004,2004,2,1,12,14,3,1,3,5,3,3,5,4,3,326,7,0,58,384,1,1,2,4,744,630,0,1374,1,0,2,1,3,1,3,7,8,1,3,4,2004,1,2,400,5,6,3,100,0,0,0,0,0,3,5,2,0,6,2010,10,5
1486,60,5,63,8577,2,2,1,4,1,5,1,9,3,3,1,5,7,5,2004,2004,2,1,12,14,3,1,3,5,3,3,5,4,7,0,7,0,847,847,1,1,2,4,847,886,0,1733,0,0,2,1,3,1,3,7,8,1,3,4,2004,1,2,433,5,6,3,144,48,0,0,0,0,3,5,2,0,4,2010,10,5
1487,60,5,60,17433,2,2,2,4,1,2,1,14,3,3,1,5,8,5,1998,1998,4,1,12,14,2,62,3,5,3,1,5,4,7,0,7,0,1629,1629,1,1,2,4,1645,830,0,2475,0,0,2,1,4,1,3,7,8,1,6,2,1998,1,3,962,5,6,3,23,172,0,0,256,0,3,5,2,0,1,2010,10,5
1488,20,5,73,8987,2,2,4,4,1,5,1,21,3,3,1,3,8,5,2005,2006,2,1,12,14,2,139,3,5,3,3,5,5,7,0,7,0,1595,1595,1,1,2,4,1595,0,0,1595,0,0,2,0,2,1,3,6,8,1,3,2,2005,3,3,880,5,6,3,144,0,0,0,0,0,3,5,2,0,5,2010,10,5
1489,20,2,92,9215,2,2,4,4,1,5,1,21,3,3,1,3,7,5,2009,2010,4,1,12,14,3,1,3,5,3,3,5,4,7,0,7,0,1218,1218,1,1,2,4,1218,0,0,1218,0,0,2,0,2,1,3,4,8,0,4,2,2009,3,2,676,5,6,3,0,136,0,0,0,0,3,5,2,0,4,2010,7,6
1490,20,2,84,10440,2,2,4,4,1,1,1,21,3,3,1,3,6,5,2005,2005,2,1,12,14,3,1,3,5,3,1,5,4,3,1414,7,0,54,1468,1,1,2,4,1468,0,0,1468,1,0,2,0,2,1,3,6,8,1,3,2,2005,1,2,528,5,6,3,0,102,0,0,216,0,3,5,2,0,5,2010,10,5
1491,60,5,70,11920,2,2,4,4,1,5,1,20,3,3,1,5,7,5,2004,2004,2,1,12,14,2,68,3,5,3,3,5,1,7,0,7,0,831,831,1,1,2,4,831,828,0,1659,0,0,2,1,3,1,3,8,8,0,4,2,2004,3,2,484,5,6,3,144,68,0,0,0,0,3,5,2,0,4,2010,10,5
1492,30,4,70,9800,2,2,4,4,1,1,1,20,2,3,1,3,5,5,1920,1950,2,1,13,15,3,1,4,2,1,5,5,4,7,0,7,0,816,816,1,5,1,1,1012,0,0,1012,0,0,1,0,2,1,5,5,8,0,4,6,1920,4,1,429,5,6,3,121,0,80,0,0,0,3,5,2,0,4,2010,10,5
1493,20,5,39,15410,2,2,1,4,1,2,1,19,8,3,1,3,6,6,1974,2002,4,1,10,11,1,154,4,3,2,5,5,2,2,126,3,859,223,1208,1,1,2,4,1494,0,0,1494,1,0,2,0,3,1,5,7,8,2,2,2,1974,1,2,461,5,6,3,296,0,186,0,0,0,3,1,2,0,4,2010,10,1
1494,60,5,85,13143,2,2,1,4,1,5,1,14,3,3,1,5,8,5,1993,1993,2,1,7,8,2,252,3,5,3,3,5,4,4,250,3,981,0,1231,1,1,2,4,1251,1098,0,2349,1,0,2,1,4,1,3,9,8,1,6,2,1993,3,3,762,5,6,3,32,130,0,0,0,0,3,5,2,0,6,2010,10,5
1495,60,5,88,11134,2,2,4,4,1,5,1,14,3,3,1,5,8,5,1992,1993,2,1,7,7,2,109,3,5,3,3,5,4,3,1129,7,0,261,1390,1,1,2,4,1402,823,0,2225,1,0,2,1,4,1,3,7,8,1,6,2,1992,3,3,713,5,6,3,198,30,0,0,0,0,3,5,2,0,6,2010,10,5
1496,120,2,25,4835,2,2,1,4,1,2,1,21,3,3,5,3,7,5,2004,2005,2,1,8,9,3,1,3,5,3,1,5,1,3,1298,7,0,190,1488,1,1,2,4,1488,0,0,1488,1,0,2,0,2,1,3,6,8,1,3,2,2004,1,2,506,5,6,3,168,50,0,0,0,0,3,5,2,0,3,2010,10,5
1497,160,2,39,3515,2,3,4,4,1,5,1,21,3,3,5,5,7,5,2004,2004,2,1,12,14,3,1,3,5,3,3,5,4,7,0,7,0,840,840,1,1,2,4,840,840,0,1680,0,0,2,1,2,1,3,3,8,0,4,2,2004,3,2,588,5,6,3,0,111,0,0,0,0,3,5,2,0,1,2010,10,5
1498,160,2,30,3215,2,3,4,4,1,5,1,21,3,3,5,5,7,5,2004,2004,2,1,8,9,2,66,3,5,3,3,5,1,3,280,7,0,320,600,1,1,2,4,600,600,0,1200,0,0,2,1,2,1,3,4,8,0,4,6,2004,3,2,480,5,6,3,0,172,0,0,0,0,3,5,2,0,4,2010,3,5
1499,160,2,24,2544,2,3,4,4,1,5,1,21,3,3,4,5,7,5,2004,2005,2,1,8,9,3,1,3,5,3,3,5,4,3,368,1,42,190,600,1,1,2,4,600,600,0,1200,1,0,2,1,2,1,3,4,8,0,4,6,2004,3,2,480,5,6,3,0,172,0,0,0,0,3,5,2,0,2,2010,10,5
1500,160,2,24,2544,2,3,4,4,1,5,1,21,3,3,4,5,6,5,2005,2005,2,1,12,14,2,134,3,5,3,3,5,4,3,376,7,0,224,600,1,1,2,4,600,636,0,1236,1,0,2,1,2,1,3,4,8,0,4,6,2005,3,2,480,5,6,3,0,166,0,0,0,0,3,5,2,0,5,2010,10,5
1501,160,2,0,2980,2,2,4,4,1,1,1,21,3,3,5,5,6,5,2000,2000,2,1,8,9,2,301,3,5,3,3,5,4,3,466,7,0,290,756,1,1,2,4,756,756,0,1512,1,0,2,1,2,1,3,5,8,0,4,6,2000,4,2,440,5,6,3,0,32,0,0,0,0,3,5,2,0,5,2010,10,5
1502,160,2,0,2403,2,2,1,4,1,3,1,21,3,3,5,5,7,5,2003,2003,2,1,12,14,3,1,3,5,3,3,5,4,3,244,7,0,286,530,1,1,2,4,530,550,0,1080,0,0,2,1,2,1,3,4,8,0,4,2,2003,3,2,496,5,6,3,0,50,0,0,0,0,3,5,2,0,6,2010,10,5
1503,20,2,57,12853,2,3,1,4,1,5,1,21,3,3,1,3,8,5,2010,2010,2,1,6,6,3,1,3,5,3,1,4,4,3,1032,7,0,610,1642,1,1,2,4,1418,0,0,1418,1,0,1,1,1,1,3,6,8,1,3,2,2010,3,3,852,5,6,3,160,192,0,224,0,0,3,5,2,0,4,2010,7,6
1504,60,2,68,7379,2,2,1,4,1,5,1,21,3,3,1,5,8,5,2000,2000,2,1,12,14,3,1,3,5,3,3,5,4,3,484,7,0,491,975,1,1,2,4,975,873,0,1848,1,0,2,1,3,1,3,7,8,1,6,2,2000,3,2,592,5,6,3,280,184,0,0,0,0,3,5,2,0,4,2010,10,5
1505,20,2,80,8000,2,2,4,4,1,5,1,21,3,3,1,3,7,5,2002,2002,2,1,12,14,3,1,3,5,3,3,5,4,3,833,7,0,659,1492,1,1,2,4,1492,0,0,1492,1,0,2,0,3,1,3,6,8,1,3,2,2002,3,2,596,5,6,3,277,137,0,0,0,0,3,5,2,0,4,2010,10,5
1506,20,5,0,10456,2,2,1,4,1,5,1,17,3,3,1,3,6,6,1967,1967,4,1,7,7,2,66,4,5,2,5,5,4,3,506,7,0,1323,1829,1,3,2,4,1829,0,0,1829,1,0,2,0,4,1,5,8,8,0,4,2,1967,3,2,535,5,6,3,0,76,0,0,0,0,3,5,2,0,5,2010,10,5
1507,60,5,80,10791,2,2,4,4,1,5,1,17,3,3,1,5,6,5,1993,1993,2,1,8,9,3,1,4,5,3,3,5,3,3,1137,7,0,143,1280,1,1,2,4,1280,1215,0,2495,1,0,2,1,4,1,3,9,8,1,6,2,1993,4,2,660,5,6,3,224,32,0,0,0,0,3,5,2,0,3,2010,10,5
1508,50,5,0,18837,2,2,1,4,1,5,1,17,3,3,1,1,6,5,1978,1978,2,1,8,9,3,1,4,5,3,3,5,3,1,687,4,46,491,1224,1,5,2,4,1287,604,0,1891,0,1,3,0,3,1,5,7,8,1,6,2,1978,3,2,678,5,6,3,0,69,0,0,0,0,3,5,2,0,4,2010,10,5
1509,60,5,80,9600,2,2,4,4,1,5,1,17,3,3,1,5,6,6,1971,1971,2,1,8,9,3,1,4,5,2,5,5,4,1,329,7,0,386,715,1,5,2,4,930,715,0,1645,0,0,1,2,4,1,5,7,8,0,4,2,1971,3,2,441,5,6,3,0,78,0,0,0,0,3,2,2,0,6,2010,10,5
1510,20,5,80,9600,2,2,4,4,1,5,1,13,3,3,1,3,5,5,1966,1966,4,1,12,14,2,103,4,5,2,5,5,4,6,698,7,0,534,1232,1,5,2,4,1232,0,0,1232,1,0,1,1,3,1,5,6,8,0,4,2,1966,3,2,490,5,6,3,0,224,0,0,0,0,3,5,2,0,4,2010,10,5
1511,20,5,90,9900,2,2,4,4,1,1,1,13,3,3,1,3,5,5,1966,1966,4,1,7,7,3,1,4,5,3,3,5,4,2,1059,7,0,150,1209,1,3,2,4,1209,0,0,1209,1,0,1,0,3,1,5,6,8,0,4,2,1966,3,2,504,5,6,3,0,0,120,0,0,0,3,5,2,0,4,2010,3,5
1512,20,5,88,9680,2,2,4,4,1,5,1,13,3,3,1,3,5,6,1967,1967,2,1,13,11,2,167,4,5,2,5,5,4,2,1010,7,0,500,1510,1,1,2,4,1510,0,0,1510,1,0,2,0,3,1,3,6,8,0,4,2,1967,3,2,517,5,6,3,0,40,0,0,204,0,3,1,2,0,4,2010,10,5
1513,80,5,0,10600,2,3,1,4,1,5,1,13,3,3,1,7,6,5,1964,1964,2,1,7,7,3,1,4,5,2,5,5,4,7,0,7,0,533,533,1,5,2,4,1131,644,0,1775,0,0,2,0,3,1,5,8,8,0,4,2,1964,4,2,480,5,6,3,0,172,0,0,0,0,3,5,2,0,5,2010,1,4
1514,90,5,98,13260,2,2,1,4,1,5,1,13,3,3,3,3,5,6,1962,2001,4,1,7,7,2,84,4,5,2,5,5,4,2,1500,7,0,228,1728,1,5,2,4,1728,0,0,1728,2,0,2,0,6,2,5,10,8,0,4,7,0,2,0,0,3,4,3,0,0,0,0,0,0,3,5,2,0,1,2010,9,1
1515,50,5,68,9724,2,2,4,4,1,5,1,13,3,3,1,1,5,7,1952,2002,2,1,8,9,2,166,3,5,2,5,5,4,4,670,7,0,470,1140,1,3,2,4,1929,532,0,2461,0,0,2,0,3,1,5,7,4,2,3,6,1994,4,2,400,5,6,3,0,0,0,0,0,0,3,2,2,0,3,2010,10,5
1516,50,5,120,17360,2,2,4,4,1,1,1,13,1,3,1,1,6,6,1949,1950,2,1,8,9,4,201,4,3,2,5,5,4,6,300,7,0,482,782,1,5,2,4,1019,537,0,1556,0,0,2,0,3,1,5,6,8,1,3,2,1949,4,2,470,5,6,3,0,0,150,0,0,0,3,5,2,0,1,2010,10,5
1517,85,5,75,11380,2,2,1,4,1,5,1,13,3,3,1,6,6,8,1966,2008,2,1,7,7,2,134,4,5,2,5,5,2,3,944,7,0,136,1080,1,3,2,4,1128,0,0,1128,1,0,1,0,2,1,3,5,8,1,3,2,1966,4,1,315,5,6,3,238,0,0,0,0,0,3,5,4,1500,1,2010,10,5
1518,90,5,70,8267,2,2,4,4,1,1,1,13,2,3,3,3,5,5,1958,1958,2,1,7,7,3,1,4,5,2,5,5,4,7,0,7,0,1604,1604,1,5,2,4,1604,0,0,1604,0,0,2,0,4,2,5,8,8,0,4,2,1958,4,2,576,5,6,3,42,0,0,0,0,0,3,5,2,0,3,2010,10,5
1519,20,5,70,8197,2,2,4,4,1,5,1,13,3,3,1,3,7,5,2003,2009,2,1,12,14,2,253,3,5,3,3,5,4,3,1188,7,0,292,1480,1,1,2,4,1480,0,0,1480,1,0,2,0,3,1,3,7,8,0,4,2,2003,3,2,620,5,6,3,252,73,0,0,0,0,3,3,4,300,2,2010,10,5
1520,20,5,0,8050,2,2,1,4,1,5,1,13,3,3,1,3,5,5,1959,1959,4,1,8,9,2,89,4,5,2,5,5,4,2,856,6,162,125,1143,1,5,2,4,1143,0,0,1143,1,0,1,0,3,1,5,6,8,0,4,2,1959,3,1,308,5,6,3,0,0,0,0,0,0,3,1,2,0,5,2010,10,5
1521,20,5,87,10725,2,2,1,4,1,5,1,13,3,3,1,3,5,5,1959,1959,4,1,8,9,2,48,4,5,2,5,5,4,6,936,7,0,270,1206,1,2,2,4,1206,0,0,1206,0,0,1,0,3,1,5,6,8,0,4,2,1959,3,1,312,5,6,3,0,21,0,0,0,0,3,5,2,0,5,2010,10,5
1522,20,5,80,10032,2,2,4,4,1,5,1,13,3,3,1,3,6,5,1959,1959,2,1,13,15,4,234,4,5,2,5,5,4,6,734,7,0,510,1244,1,1,2,4,1580,0,0,1580,1,0,1,1,3,1,5,6,8,2,3,2,1956,4,2,440,5,6,3,0,28,0,0,160,0,3,2,2,0,6,2010,10,5
1523,50,5,60,8382,2,2,4,4,1,5,1,13,3,3,1,1,4,5,1956,1956,2,1,8,9,3,1,4,5,2,5,5,4,7,0,7,0,832,832,1,5,2,1,832,505,0,1337,0,0,1,0,3,1,5,5,8,0,4,2,1956,4,1,263,5,6,3,0,0,0,0,0,0,3,5,2,0,2,2010,10,5
1524,20,5,60,10950,2,2,4,4,1,5,1,13,3,3,1,3,5,7,1952,1952,2,1,14,16,3,1,4,5,2,5,5,4,2,339,7,0,525,864,1,5,2,4,1064,0,0,1064,0,1,1,0,2,1,2,4,8,0,4,6,1952,4,1,318,5,6,3,0,0,0,0,0,0,3,5,2,0,5,2010,10,5
1525,20,5,119,10895,2,2,4,4,1,1,1,13,3,3,1,3,5,6,1955,1955,2,1,8,9,3,1,4,3,2,5,5,4,6,648,7,0,324,972,1,5,2,4,972,0,0,972,0,0,1,0,3,1,5,5,8,0,4,2,1955,4,1,305,5,6,3,0,0,205,0,0,0,3,2,2,0,6,2010,10,5
1526,190,5,70,13587,2,2,4,4,1,5,1,13,3,3,2,3,5,5,1958,1958,2,1,8,9,3,1,4,5,2,5,5,1,6,532,7,0,456,988,1,5,2,4,988,0,0,988,1,0,1,0,2,1,5,5,8,0,4,2,1958,4,1,264,5,6,3,0,0,0,0,0,0,3,5,2,0,4,2010,10,1
1527,30,5,65,7898,2,2,4,4,1,1,1,13,3,3,1,3,4,7,1920,1994,2,1,8,9,3,1,4,5,1,5,5,4,7,0,7,0,576,576,1,3,2,4,985,0,0,985,0,1,1,0,2,1,5,4,8,0,4,6,1989,4,2,676,5,6,1,0,0,0,0,0,0,3,5,2,0,4,2010,10,5
1528,50,5,60,8064,2,2,4,4,1,5,1,13,1,3,1,1,6,8,1948,2004,2,1,14,16,3,1,4,5,2,5,5,4,1,481,6,174,161,816,1,5,2,4,816,408,0,1224,1,0,1,0,3,1,5,5,8,0,4,6,1950,4,1,280,5,6,3,414,0,0,0,0,0,3,2,2,0,5,2010,10,5
1529,20,5,81,7635,2,2,1,4,1,1,1,13,3,3,1,3,5,6,1960,1960,2,1,4,15,3,1,4,5,2,5,5,4,6,588,4,350,237,1175,1,1,2,4,1175,0,0,1175,0,0,1,1,3,1,5,6,8,0,4,6,1960,3,2,484,5,6,3,0,0,0,0,0,0,3,5,2,0,6,2010,10,5
1530,20,5,80,9760,2,2,4,4,1,5,2,13,3,3,1,3,6,7,1963,1984,4,1,13,15,2,136,4,5,2,5,5,2,2,717,4,263,415,1395,1,5,2,4,1395,0,0,1395,1,0,1,0,2,1,5,7,3,1,6,2,1963,3,2,440,5,6,3,657,0,113,0,240,0,3,5,2,0,5,2010,10,5
1531,50,6,60,4800,2,2,4,4,1,1,1,18,3,3,1,1,4,5,1900,1954,4,1,13,15,2,292,4,5,3,5,5,4,1,48,7,0,661,709,1,5,2,4,1157,687,0,1844,1,0,1,0,3,1,5,9,4,2,3,3,1900,4,1,240,5,6,3,84,0,0,0,0,0,3,5,2,0,1,2010,1,1
1532,30,6,56,4485,2,1,4,4,1,5,1,18,1,3,1,3,5,7,1920,1950,2,1,13,15,3,1,4,5,3,5,5,4,2,579,7,0,357,936,1,5,2,4,936,0,0,936,1,0,1,0,2,1,5,5,8,1,3,7,0,2,0,0,3,4,2,51,0,135,0,0,0,3,3,2,0,5,2010,10,5
1533,20,6,69,5805,2,1,4,1,1,5,2,18,3,3,1,3,5,7,1957,1957,4,1,8,9,3,1,4,5,2,5,5,3,2,274,6,1073,0,1347,1,3,2,4,1347,0,0,1347,1,1,1,0,3,1,3,6,8,0,4,6,1957,4,2,551,5,6,3,0,0,0,0,0,0,3,5,2,0,6,2010,10,5
1534,45,6,50,6900,2,2,4,4,1,1,1,18,3,3,1,1,6,7,1938,2000,2,1,8,9,3,1,4,5,3,3,5,4,7,0,7,0,827,827,1,3,2,4,827,424,0,1251,0,0,1,0,3,1,2,6,8,0,4,6,1938,4,1,240,1,6,1,0,0,0,0,0,0,3,5,2,0,1,2010,10,5
1535,50,6,69,11851,2,2,4,4,1,5,1,18,1,3,1,1,5,7,1948,2009,2,1,12,14,3,1,4,3,1,5,5,4,2,780,7,0,247,1027,1,1,2,4,1027,606,0,1633,0,0,1,0,3,1,3,7,8,1,3,6,1948,4,1,240,5,6,3,0,100,126,0,0,0,3,5,2,0,6,2010,10,5
1536,50,6,0,8239,2,2,4,4,1,5,1,18,1,3,1,1,5,6,1920,1962,2,1,8,9,3,1,4,5,1,5,5,4,6,176,7,0,832,1008,1,5,2,4,1060,185,0,1245,0,0,1,0,3,1,5,6,8,0,4,6,1962,4,1,315,5,6,3,0,0,334,0,0,0,3,5,2,0,3,2010,10,5
