"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
31,70,1,50,8500,2,3,4,4,1,5,1,10,2,3,1,6,4,4,1920,1950,3,2,4,4,3,1,4,2,1,5,5,4,7,7,649,2,5,1,6,1317,0,0,1,0,3,1,4,6,7,0,4,6,1920,4,1,250,6,2,1,0,54,172,0,0,0,4,3,2,0,7,2008,9,5,40000
32,20,4,0,8544,2,2,1,4,1,2,1,19,3,3,1,3,5,6,1966,2006,2,2,7,7,3,1,4,5,2,5,5,4,7,7,1228,2,3,2,6,1228,0,0,1,1,3,1,3,6,7,0,4,2,1966,4,1,271,6,6,3,0,65,0,0,0,0,4,3,2,0,6,2008,9,5,149350
33,20,4,85,11049,2,2,4,4,1,1,1,6,3,3,1,3,8,5,2007,2007,2,2,13,14,3,1,3,5,3,1,5,1,7,7,1234,2,1,2,6,1234,0,0,2,0,3,1,3,7,7,0,4,2,2007,3,2,484,6,6,3,0,30,0,0,0,0,4,5,2,0,1,2008,9,5,179900
34,20,4,70,10552,2,2,1,4,1,5,1,13,3,3,1,3,5,5,1959,1959,4,2,4,4,3,1,4,5,2,5,5,4,6,7,1398,2,3,2,6,1700,0,1,1,1,4,1,3,6,7,1,3,2,1959,3,2,447,6,6,3,0,38,0,0,0,0,4,5,2,0,4,2010,9,5,165500
35,120,4,60,7313,2,2,4,4,1,5,1,16,3,3,5,3,9,5,2005,2005,4,2,9,9,2,162,1,5,3,1,5,4,3,7,1561,2,1,2,6,1561,1,0,2,0,2,1,1,6,7,1,3,2,2005,1,2,556,6,6,3,203,47,0,0,0,0,4,5,2,0,8,2007,9,5,277500
36,60,4,108,13418,2,2,4,4,1,5,1,16,3,3,1,6,8,5,2004,2005,2,2,13,14,4,82,3,5,3,1,5,1,7,7,1117,2,1,2,6,2452,0,0,3,1,4,1,3,9,7,1,3,4,2004,1,3,691,6,6,3,113,32,0,0,0,0,4,5,2,0,9,2006,9,5,309000
37,20,4,112,10859,2,2,4,4,1,1,1,6,3,3,1,3,5,5,1994,1995,2,2,13,14,3,1,4,5,3,3,5,4,7,7,1097,2,1,2,6,1097,0,0,1,1,3,1,4,6,7,0,4,2,1995,4,2,672,6,6,3,392,64,0,0,0,0,4,5,2,0,6,2009,9,5,145000
38,20,4,74,8532,2,2,4,4,1,5,1,13,3,3,1,3,5,6,1954,1990,4,2,14,15,2,298,4,5,2,5,5,4,6,7,1297,2,3,2,6,1297,0,1,1,0,3,1,4,5,7,1,6,2,1954,1,2,498,6,6,3,0,0,0,0,0,0,4,5,2,0,10,2009,9,5,153000
39,20,4,68,7922,2,2,4,4,1,5,1,13,3,3,1,3,5,7,1953,2007,2,2,13,14,3,1,4,3,2,5,5,4,3,7,1057,2,5,2,6,1057,1,0,1,0,3,1,3,5,7,0,4,6,1953,4,1,246,6,6,3,0,52,0,0,0,0,4,5,2,0,1,2010,9,1,109000
40,90,4,65,6040,2,2,4,4,1,5,1,8,3,3,3,3,4,5,1955,1955,2,2,1,11,3,1,4,5,3,4,3,5,5,5,0,2,5,1,3,1152,0,0,2,0,2,2,2,6,7,0,4,7,0,2,0,0,4,4,1,0,0,0,0,0,0,4,5,2,0,6,2008,9,2,82000
41,20,4,84,8658,2,2,4,4,1,5,1,13,3,3,1,3,6,5,1965,1965,2,2,14,15,2,59,4,5,2,5,5,4,6,7,1088,2,1,2,6,1324,0,0,2,0,3,1,4,6,7,1,6,2,1965,3,2,440,6,6,3,0,138,0,0,0,0,4,2,2,0,12,2006,9,1,160000
42,20,4,115,16905,2,2,4,4,1,5,1,24,3,3,1,3,5,6,1959,1959,2,2,13,14,3,1,4,3,2,5,5,2,2,7,1350,2,3,2,6,1328,0,1,1,1,2,1,4,5,7,2,3,2,1959,3,1,308,6,6,2,0,104,0,0,0,0,4,5,2,0,7,2007,9,5,170000
43,85,4,0,9180,2,2,1,4,1,2,1,20,3,3,1,7,5,7,1983,1983,2,2,7,7,3,1,4,5,2,3,5,1,1,4,840,2,3,2,6,884,1,0,1,0,2,1,3,5,7,0,4,2,1983,3,2,504,6,3,3,240,0,0,0,0,0,4,3,2,0,12,2007,9,5,144000
44,20,4,0,9200,2,2,1,4,1,2,1,6,3,3,1,3,5,6,1975,1980,4,2,13,14,3,1,4,5,2,3,5,1,4,2,938,2,5,2,6,938,1,0,1,0,3,1,4,5,7,0,4,6,1977,4,1,308,6,6,3,145,0,0,0,0,0,4,3,2,0,7,2008,9,5,130250
45,20,4,70,7945,2,2,4,4,1,5,1,13,3,3,1,3,5,6,1959,1959,2,2,4,15,3,1,4,5,2,5,5,4,1,2,1150,2,1,2,1,1150,1,0,1,0,3,1,4,6,7,0,4,2,1959,3,1,300,6,6,3,0,0,0,0,0,0,4,5,2,0,5,2006,9,5,141000
46,120,4,61,7658,2,2,4,4,1,5,1,16,3,3,5,3,9,5,2005,2005,4,2,9,9,2,244,1,5,3,1,5,4,3,7,1752,2,1,2,6,1752,1,0,2,0,2,1,1,6,7,1,3,2,2005,3,2,576,6,6,3,196,82,0,0,0,0,4,5,2,0,2,2010,9,5,319900
47,50,4,48,12822,2,2,1,4,1,2,1,12,3,3,1,1,7,5,2003,2003,2,2,13,14,3,1,3,5,3,1,5,4,3,7,1434,2,1,2,6,2149,1,0,1,1,1,1,3,6,7,1,1,2,2003,3,2,670,6,6,3,168,43,0,0,198,0,4,5,2,0,8,2009,9,1,239686
48,20,2,84,11096,2,2,4,4,1,5,1,21,3,3,1,3,8,5,2006,2006,2,2,13,14,3,1,3,5,3,3,5,1,3,7,1656,2,1,2,6,1656,0,0,2,0,3,1,3,7,7,0,4,2,2006,3,3,826,6,6,3,0,146,0,0,0,0,4,5,2,0,7,2007,9,5,249700
49,190,5,33,4456,2,2,4,4,1,5,1,18,3,3,2,6,4,5,1920,2008,2,2,9,9,3,1,4,5,1,5,5,4,7,7,736,2,3,2,6,1452,0,0,2,0,2,3,4,8,7,0,4,7,0,2,0,0,4,4,1,0,0,102,0,0,0,4,5,2,0,6,2009,7,6,113000
50,20,4,66,7742,2,2,4,4,1,5,1,19,3,3,1,3,5,7,1966,1966,2,2,7,7,3,1,4,5,2,5,5,4,2,7,955,2,1,2,6,955,1,0,1,0,3,1,4,6,7,0,4,2,1966,4,1,386,6,6,3,0,0,0,0,0,0,4,3,2,0,1,2007,9,5,127000
51,60,4,0,13869,2,2,2,4,1,1,1,9,3,3,1,6,6,6,1997,1997,2,2,13,14,3,1,4,5,3,3,5,1,3,7,794,2,3,2,6,1470,0,1,2,0,3,1,4,6,7,0,4,2,1997,1,2,388,6,6,3,0,75,0,0,0,0,4,5,2,0,7,2007,9,5,177000
52,50,5,52,6240,2,2,4,4,1,5,1,4,3,3,1,1,6,6,1934,1950,2,2,14,15,3,1,4,5,3,5,5,4,7,7,816,2,5,2,6,1176,0,0,1,0,3,1,4,6,7,1,3,6,1985,4,2,528,6,6,3,112,0,0,0,0,0,4,3,4,400,9,2006,9,5,114500
53,90,5,110,8472,1,2,2,1,1,1,2,10,9,3,3,3,5,5,1963,1963,2,2,14,15,3,1,2,5,2,3,5,2,4,3,816,2,5,1,6,816,1,0,1,0,2,1,4,5,7,0,4,5,1963,4,2,516,6,6,3,106,0,0,0,0,0,4,5,2,0,5,2010,9,5,110000
54,20,4,68,50271,2,2,1,3,1,5,1,25,3,3,1,3,9,5,1981,1987,2,8,15,16,3,1,3,5,2,1,5,2,3,7,1842,2,3,2,6,1842,2,0,0,1,0,1,3,5,7,1,3,2,1981,1,3,894,6,6,3,857,72,0,0,0,0,4,5,2,0,11,2006,9,5,385000
55,80,4,60,7134,2,2,4,1,1,5,2,13,3,3,1,8,5,5,1955,1955,2,2,9,9,3,1,4,5,2,5,5,4,1,7,384,2,5,2,6,1360,0,0,1,0,3,1,4,6,3,1,6,6,1962,4,2,572,6,6,3,0,50,0,0,0,0,4,3,2,0,2,2007,9,5,130000
56,20,4,100,10175,2,2,1,4,1,5,1,13,3,3,1,3,6,5,1964,1964,2,2,7,11,2,179,4,5,2,5,5,4,2,7,1425,2,3,2,6,1425,0,0,2,0,3,1,4,7,7,1,3,2,1964,3,2,576,6,6,3,0,0,0,407,0,0,4,5,2,0,7,2008,9,5,180500
57,160,2,24,2645,2,3,4,4,1,5,1,21,3,3,4,6,8,5,1999,2000,2,2,9,9,2,262,3,5,3,3,5,4,3,7,970,2,1,2,6,1739,1,0,2,1,3,1,3,7,7,0,4,2,1999,1,2,480,6,6,3,115,0,0,0,0,0,4,5,2,0,8,2009,9,1,172500
58,60,4,89,11645,2,2,1,4,1,1,1,6,3,3,1,6,7,5,2004,2004,2,2,13,14,3,1,3,5,3,3,5,4,7,7,860,2,1,2,6,1720,0,0,2,1,3,1,3,7,7,0,4,2,2004,3,2,565,6,6,3,0,70,0,0,0,0,4,5,2,0,8,2006,9,5,196500
59,60,4,66,13682,2,2,2,2,1,2,1,22,3,3,1,6,10,5,2006,2006,4,2,13,14,2,321,1,5,3,1,5,2,7,7,1410,2,1,2,6,2945,0,0,3,1,3,1,3,10,7,1,3,4,2006,1,3,641,6,6,3,192,0,37,0,0,0,4,5,2,0,10,2006,7,6,438780
60,20,4,60,7200,2,2,4,1,1,5,1,6,3,3,1,3,5,7,1972,1972,2,2,7,7,3,1,4,5,2,5,5,1,1,7,780,2,1,2,6,780,0,0,1,0,2,1,4,4,7,0,4,6,1973,4,1,352,6,6,3,196,0,0,0,0,0,4,3,2,0,1,2008,9,5,124900
61,20,4,63,13072,2,2,4,4,1,5,1,20,6,3,1,3,6,5,2004,2004,2,2,13,14,3,1,4,5,3,3,5,4,1,7,1158,2,1,2,6,1158,1,0,1,1,3,1,3,5,7,0,4,6,2006,4,2,576,6,6,3,0,50,0,0,0,0,4,5,2,0,5,2006,7,6,158000
62,75,5,60,7200,2,2,4,4,1,5,1,10,3,3,1,5,5,7,1920,1996,2,2,9,9,3,1,4,5,1,5,1,4,7,7,530,2,5,1,6,1111,0,0,1,0,3,1,2,6,7,0,4,6,1935,4,1,288,6,6,1,0,0,144,0,0,0,4,5,2,0,3,2007,9,5,101000
63,120,4,44,6442,2,2,1,4,1,5,1,16,3,3,5,3,8,5,2006,2006,2,2,13,14,4,119,3,5,3,3,2,3,3,7,1370,2,1,2,6,1370,0,0,2,0,2,1,3,6,7,1,3,2,2006,3,2,484,6,6,3,120,49,0,0,0,0,4,5,2,0,10,2007,9,5,202500
64,70,5,50,10300,2,2,1,1,1,5,1,18,7,2,1,6,7,6,1921,1950,2,2,12,13,3,1,4,5,1,5,5,4,7,7,576,2,3,2,6,1710,0,0,2,0,3,1,4,9,7,0,4,6,1990,4,2,480,6,6,3,12,11,64,0,0,0,4,1,2,0,4,2010,9,5,140000
65,60,4,0,9375,2,2,4,4,1,5,1,6,3,3,1,6,7,5,1997,1998,2,2,13,14,2,285,4,5,3,3,5,4,3,7,1057,2,1,2,6,2034,1,0,2,1,3,1,3,8,7,0,4,2,1998,3,2,645,6,6,3,576,36,0,0,0,0,4,1,2,0,2,2009,9,5,219500
66,60,4,76,9591,2,2,4,4,1,5,1,16,3,3,1,6,8,5,2004,2005,2,2,13,14,2,220,3,5,3,1,5,1,7,7,1143,2,1,2,6,2473,0,0,2,1,4,1,3,9,7,1,3,4,2004,3,3,852,6,6,3,192,151,0,0,0,0,4,5,2,0,10,2007,9,5,317000
67,20,4,0,19900,2,2,4,4,1,5,1,13,4,3,1,3,7,5,1970,1989,2,2,10,11,2,188,4,5,2,3,5,2,3,7,1947,2,5,2,6,2207,1,0,2,0,3,1,4,7,3,1,3,2,1970,3,2,576,6,6,3,301,0,0,0,0,0,4,5,2,0,7,2010,9,5,180000
68,20,4,72,10665,2,2,1,4,1,5,1,6,3,3,1,3,7,5,2003,2003,2,2,13,14,2,110,3,5,3,3,5,1,3,7,1453,2,1,2,6,1479,1,0,2,0,3,1,3,7,7,0,4,2,2003,3,2,558,6,6,3,144,29,0,0,0,0,4,5,2,0,6,2007,9,5,226000
69,30,5,47,4608,2,2,4,4,1,1,1,18,1,3,1,3,4,6,1945,1950,2,2,9,9,3,1,4,3,2,5,5,4,7,7,747,2,5,2,6,747,0,0,1,0,2,1,4,4,7,0,4,2,1945,4,1,220,6,6,3,0,0,0,0,0,0,4,5,2,0,6,2010,9,5,80000
70,50,4,81,15593,2,2,4,4,1,1,1,5,3,3,1,1,7,4,1953,1953,2,2,4,1,3,1,3,5,2,5,5,4,2,7,1304,3,5,2,6,2287,0,0,2,0,3,1,4,7,7,1,6,2,1953,1,2,667,6,6,3,0,21,114,0,0,0,4,5,2,0,7,2006,9,5,225000
71,20,4,95,13651,2,2,1,4,1,5,1,13,3,3,1,3,7,6,1973,1973,2,2,10,11,2,323,4,3,2,3,5,2,1,7,2223,2,1,2,6,2223,1,0,2,0,3,1,4,8,7,2,3,2,1973,1,2,516,6,6,3,300,0,0,0,0,0,4,5,2,0,2,2007,9,5,244000
72,20,4,69,7599,2,2,4,4,1,1,1,12,3,3,1,3,4,6,1982,2006,2,2,7,11,3,1,4,5,2,5,5,4,1,7,845,2,5,2,6,845,1,0,1,0,2,1,4,4,7,0,4,6,1987,4,2,360,6,6,3,0,0,0,0,0,0,4,5,2,0,6,2007,9,5,129500
73,60,4,74,10141,2,2,1,4,1,1,1,9,3,3,1,6,7,5,1998,1998,2,2,13,14,2,17,4,5,3,3,5,4,7,7,832,2,3,2,6,1718,0,0,2,1,3,1,4,7,7,1,6,2,1998,1,2,427,6,6,3,0,94,0,0,291,0,4,5,2,0,12,2009,9,5,185000
74,20,4,85,10200,2,2,4,4,1,5,1,13,3,3,1,3,5,7,1954,2003,2,2,14,15,2,61,4,5,2,5,5,4,1,2,1086,2,3,2,6,1086,1,0,1,0,3,1,4,6,7,0,4,2,1989,4,2,490,6,6,3,0,0,0,0,0,0,4,2,2,0,5,2010,9,5,144900
75,50,5,60,5790,2,2,4,4,1,1,1,18,3,3,1,6,3,6,1915,1950,3,2,13,14,3,1,3,3,2,2,5,4,7,7,840,2,3,1,6,1605,0,0,2,0,3,2,4,8,7,0,4,6,1915,4,1,379,6,6,3,0,0,202,0,0,0,4,5,2,0,5,2010,9,5,107400
76,180,5,21,1596,2,2,4,4,1,5,1,11,3,3,4,8,4,5,1973,1973,2,2,6,6,3,1,4,5,2,3,5,2,3,7,462,2,5,2,6,988,1,0,1,0,2,1,4,5,7,0,4,4,1973,4,1,297,6,6,3,120,101,0,0,0,0,4,2,2,0,11,2009,9,5,91000
77,20,4,0,8475,2,2,1,4,1,5,1,13,3,3,1,3,4,7,1956,1956,2,2,13,14,3,1,4,5,2,5,5,4,1,7,952,2,1,2,1,952,0,0,1,0,2,1,4,4,7,0,4,6,1956,4,1,283,6,6,3,0,0,0,0,0,0,4,5,2,0,4,2008,9,5,135750
78,50,5,50,8635,2,2,4,4,1,5,1,4,3,3,1,1,5,5,1948,2001,2,2,14,15,3,1,4,5,2,5,5,4,2,3,672,2,5,2,6,1285,1,0,1,0,2,1,4,6,3,0,4,6,1948,4,1,240,6,6,3,0,0,0,0,0,0,4,3,2,0,1,2008,9,5,127000
79,90,4,72,10778,2,2,4,4,1,5,1,19,3,3,3,3,4,5,1968,1968,4,2,7,7,3,1,4,5,2,5,5,4,7,7,1768,2,5,1,6,1768,0,0,2,0,4,2,4,8,7,0,4,7,0,2,0,0,4,4,3,0,0,0,0,0,0,4,5,2,0,4,2010,9,5,136500
80,50,5,60,10440,2,1,4,4,1,1,1,18,3,3,1,6,5,6,1910,1981,2,2,14,15,3,1,4,5,3,5,5,4,7,7,440,2,3,2,6,1230,0,0,1,1,2,1,4,5,7,0,4,6,1966,4,2,440,6,6,3,74,0,128,0,0,0,4,3,2,0,5,2009,9,5,110000
81,60,4,100,13000,2,2,4,4,1,1,1,13,3,3,1,6,6,6,1968,1968,2,2,13,14,2,286,4,3,2,3,5,4,6,7,896,2,5,2,6,2142,0,0,2,1,4,1,3,8,7,1,3,2,1968,1,1,509,6,6,3,0,72,0,0,252,0,4,5,2,0,6,2009,9,5,193500
82,120,5,32,4500,2,2,4,4,1,3,1,12,3,3,5,3,6,5,1998,1998,4,2,13,14,2,257,4,3,3,1,2,4,3,7,1237,2,1,2,6,1337,1,0,2,0,2,1,4,5,7,0,4,2,1998,1,2,405,6,6,3,0,199,0,0,0,0,4,5,2,0,3,2006,9,5,153500
